What’s your university?,In which faculty do you study?,What is the year of study?,Which district are you living in?,Gender,Do you prefer the concept of distance learning?,Do you have a reliable internet connection?,Are you comfortable and familiar with the required technologies and applications?,Do you clear which technologies and applications are required to use?,"Do you have any difficulty in accessing reliable communication software/tools (e.g, MS Teams, Zoom, Google Hangout)","Can you always access specialized software for your study (eg. statistical packages, drawing packages, coding softwares)",Can you always access library resource,Can you always find time to participate in synchronous classes (eg. Live streaming lectures or video conferencing at a set time),Can you always find time for class meeting and schedules,"In general, is your instructors are available or responsive.",Are you clear about your course/assignment requirements,Methods of adjusted/modified assessment on this transition period are appropriate for evaluating achievement of the intended learning outcomes.,The criteria used for adjusted/modified assessment marking were clear.,The adjusted/modified assessment was effective in helping learn.,Do you feel that your course lessons or activities have been well delivered in the online environment?,"In general, is your instructors are comfortable or familiar with the required technologies or applications.",Do you  concerned about recording online lessons delivered and making the video accessible to students thereafter,Rating for overall content of the courses,Rating for overall accuracy of the e-learning content,Rating for the overall format of the courses,Rating for the easy accessibility,Rating for timeliness of the course
University of Colombo,IT,3rd year,Colombo,Male,2,4,4,2,4,2,3,4,4,5,4,4,5,1,4,4,4,3,5,4,4,4
University of Colombo School of Computing,Engineering,2nd year,Kurunegala,Male,4,5,5,1,5,4,4,4,1,4,4,3,4,4,5,4,5,4,5,4,5,4
University of Peradeniya,Engineering,4th year,Kandy,Female,4,4,3,5,4,4,3,4,4,5,3,4,5,5,5,4,5,3,4,5,4,4
University of Colombo,Engineering,2nd year,Hambantota,Male,3,4,4,5,4,3,4,5,5,4,4,3,5,4,4,5,4,3,5,4,4,3
University of Peradeniya,Medicine,4th year,Hambantota,Male,4,5,3,2,4,2,5,4,4,2,4,4,4,5,4,2,4,4,5,5,5,5
University of Colombo,Medicine,2nd year,Gampaha,Female,4,5,3,4,1,5,4,4,5,1,2,5,4,4,4,2,5,3,4,2,5,2
University of Jayawardhanapura,Management & Finance,1st year,Hambantota,Male,4,4,5,4,5,5,5,4,4,5,4,4,5,2,4,2,4,4,4,2,4,4
University of Jayawardhanapura,Management & Finance,2nd year,Hambantota,Female,5,5,4,5,4,4,4,1,2,5,5,5,4,2,3,5,5,5,5,2,5,5
Sri Lanka Institute of Information Technology,IT,3rd year,Gampaha,Female,4,5,5,4,5,5,2,4,2,2,4,4,5,1,5,4,4,4,4,5,5,3
University of Peradeniya,Medicine,1st year,Matara,Male,5,4,4,5,4,5,1,4,1,4,4,5,4,5,2,4,1,5,5,4,4,4
University of Kelaniya,Law,3rd year,Kegalle,Female,5,4,4,5,2,4,5,4,5,4,5,2,4,5,4,4,4,4,4,4,4,4
University of Moratuwa,Business,2nd year,Gampaha,Male,4,5,4,4,5,4,5,1,5,5,2,4,4,2,5,4,5,2,1,4,5,2
University of Peradeniya,Medicine,2nd year,Hambantota,Female,4,4,3,5,4,5,2,4,2,4,2,4,5,4,3,3,4,1,4,4,4,4
University of Colombo,Medicine,2nd year,Colombo,Male,5,4,5,5,1,4,4,5,4,5,2,3,4,4,4,5,5,5,5,3,1,4
University of Jayawardhanapura,Management & Finance,2nd year,Gampaha,Male,4,5,5,5,4,5,4,4,4,2,5,2,4,3,4,4,4,5,4,2,5,3
University of Jayawardhanapura,Management & Finance,2nd year,Puttalam,Female,5,4,4,4,5,4,5,2,3,4,4,5,4,2,4,5,2,2,5,4,5,5
University of Moratuwa,IT,4th year,Vavuniya,Male,4,5,4,5,4,1,4,1,2,3,4,5,1,5,5,3,1,4,4,2,2,2
University of Peradeniya,Medicine,2nd year,Colombo,Female,1,4,3,5,5,4,5,3,5,2,4,4,4,5,5,2,5,4,2,5,4,4
